Constituency_No,District,Constituency_Name,ADMK Coalition Candidate name,Party,Gender,Education,Age,Criminal Cases,Total Assets,Liabilities
2,Thiruvallur,PONNERI,P. Balaraman,ADMK,M,Post Graduate,59,0,24626250,1047181
3,Thiruvallur,TIRUTTANI,G. Hari,ADMK,M,Post Graduate Professional,60,0,63367698,4618788
4,Thiruvallur,THIRUVALLUR,B. V. Ramanaa,ADMK,M,Diploma,53,0,98233272,32208499
6,Thiruvallur,AVADI,K. Pandiarajan,ADMK,M,Post Graduate Professional,61,2,178834730,55123767
7,Thiruvallur,MADURAVOYAL,P. Benjamin,ADMK,M,Graduate,51,0,255758070,3567485
8,Thiruvallur,AMBATTUR,V. Alexander,ADMK,M,Graduate,49,0,48629026,12252038
9,Thiruvallur,MADAVARAM,V. Moorthy,ADMK,M,Graduate,62,0,51429044,1385807
10,Thiruvallur,THIRUVOTTIYUR,K. Kuppan,ADMK,M,Graduate,67,0,49192374,0
11,Chennai,DR. RADHAKRISHNAN NAGAR,R. S. Rajesh,ADMK,M,Diploma,48,0,54591309,18787700
13,Chennai,KOLATHUR,Adhirajaram,ADMK,M,Graduate Professional,62,0,33397498,1600000
14,Chennai,VILLIVAKKAM,J. C. D. Prabhakar,ADMK,M,Graduate Professional,68,0,141333339,145000
17,Chennai,ROYAPURAM,D. Jayakumar,ADMK,M,Graduate Professional,60,0,17902919,100000
21,Chennai,ANNA NAGAR,S. Gokula Indira,ADMK,F,Post Graduate Professional,55,0,79916968,56132938
22,Chennai,VIRUGAMPAKKAM,Virugai V. N. Ravi,ADMK,M,Graduate,58,0,16981550,0
23,Chennai,SAIDAPET,S. Duraisamy,ADMK,M,10th Std,69,3,341873688,178092835
24,Chennai,THEAYAGARAYA NAGAR,B. Sathya Narayanan,ADMK,M,Graduate,57,1,174453006,164626726
25,Chennai,MYLAPORE,R. Nataraj,ADMK,M,Doctorate,70,0,106789100,7950000
26,Chennai,VELACHERY,M. K. Ashok,ADMK,M,Graduate,49,0,95868589,7452313
27,Kanchipuram,SHOZHINGANALLUR,K. P. Kandan,ADMK,M,8th Std,57,0,873987778,0
28,Kanchipuram,ALANDUR,B. Valarmathi,ADMK,F,10th Std,62,0,69613315,0
29,Kanchipuram,SRIPERUMBUDUR,K. Palani,ADMK,M,5th Std,59,0,12812310,2675000
30,Chengalpattu,PALLAVARAM,S. Rajendran,ADMK,M,Graduate,60,0,168283975,7886925
31,Chengalpattu,TAMBARAM,T. K.M. Chinnayya,ADMK,M,Graduate,59,0,14912500,0
32,Chengalpattu,CHENGALPATTU,M. Gajendran,ADMK,M,Graduate,42,0,79641720,56531908
34,Chengalpattu,CHEYYUR,S. Kanitha Sampath,ADMK,F,Graduate,56,0,34273219,1000000
35,Chengalpattu,MADURANTHAKAM,Maragatham Kumaravel,ADMK,F,Post Graduate,38,0,37609491,9935511
36,Kanchipuram,UTHIRAMERUR,V. Somasundaram,ADMK,M,Graduate,55,0,49287926,7234915
38,Ranipet,ARAKONAM,S. Ravi,ADMK,M,Graduate Professional,57,0,11574232,10704428
40,Vellore,KATPADI,V. Ramu,ADMK,M,Graduate,48,1,13757152,0
41,Ranipet,RANIPET,S. M. Sukumar,ADMK,M,10th Std,60,0,322815475,0
43,Vellore,VELLORE,S. R. K. Appu,ADMK,M,Graduate,43,0,38341148,6418309
44,Vellore,ANAIKATTU,D. Velalagan,ADMK,M,11th Std ,51,0,44405164,0
46,Vellore,GUDIYATHAM,G. Paridha,ADMK,F,Post Graduate,37,0,4697733,0
47,Tirupattur,VANIAYAMBADI,G. Senthilkumar,ADMK,M,Graduate Professional,36,2,25029751,6609093
48,Tirupattur,AMBUR,K. Nassar Mohammed,ADMK,M,Graduate,49,0,65856302,0
49,Tirupattur,JOLARPET,K. C. Veeramani,ADMK,M,10th Std,56,0,391704603,0
51,Krishnagiri,UTHANGARAI,T. M. Tamilselvam,ADMK,M,10th Std,47,0,4576885,0
52,Krishnagiri,BARGUR,A. Krishnan,ADMK,M,Graduate,61,0,8918479,20894992
53,Krishnagiri,KRISHNAGIRI,K. Ashok Kumar,ADMK,M,11th Std,68,0,3612824,0
54,Krishnagiri,VEPPANAHALLI,K. P. Munusamy,ADMK,M,Graduate Professional,68,0,123538973,4257626
55,Krishnagiri,HOSUR,S. Jyothi Balakrishna Reddy,ADMK,F,Graduate Professional,44,0,273409356,21254638
57,Dharmapuri,PALACODE,K. P. Anbalagan,ADMK,M,10th Std,62,0,156148990,155158783
60,Dharmapuri,PAPPIREDDIPPATTI,A. Govindasamy,ADMK,M,Diploma,49,0,28479202,2284821
61,Dharmapuri,HARUR,V. Sampathkumar,ADMK,M,Graduate,46,0,7080103,1400000
62,Tiruvannamalai,CHENGAM,M. S. Nainakannu,ADMK,M,6th Std,53,0,7818944,500000
65,Tiruvannamalai,KALASAPAKKAM,V. Panneerselvam,ADMK,M,Diploma,48,1,16453628,5298253
66,Tiruvannamalai,POLUR,S. S. Krishnamoorthy,ADMK,M,Graduate,61,1,113948316,11187013
67,Tiruvannamalai,ARANI,Sevvoor S. Ramachandran,ADMK,M,12th Std,63,0,138295106,36512262
68,Tiruvannamalai,CHEYYAR,K. Mohan,ADMK,M,Graduate,63,0,39111143,4589508
72,Villupuram,TINDIVANAM,P. Arjunan,ADMK,M,10th Std,51,0,15197130,313400
73,Villupuram,VANUR,M. Chakrapani,ADMK,M,Graduate,67,0,16146050,3904024
74,Villupuram,VILLUPURAM,C. V. Shanmugam,ADMK,M,Graduate Professional,56,0,33755205,3500000
75,Villupuram,VIKRAVANDI,Muthu Tamil Selvan,ADMK,M,10th Std,56,0,7587462,770400
77,Kallakurichi,ULUNDURPET,R. Kumaraguru,ADMK,M,10th Std,60,1,27143962,0
78,Kallakurichi,RISHIVANDIAM,A. Santhosh,ADMK,M,Graduate,30,0,3841235,1390542
80,Kallakurichi,KALLAKURICHI,M. Senthilkumar,ADMK,M,12th Std,43,0,5491198,1084359
81,Salem,GANGAVALLI,A. Nallathambi,ADMK,M,8th Std,56,0,7231971,1753948
82,Salem,ATTUR,A. P. Jayasankaran,ADMK,M,Diploma,50,0,56054528,725959
83,Salem,YERCAUD,G. Chitra,ADMK,F,5th Std,50,0,16904643,550785
84,Salem,OMALUR,R. Mani,ADMK,M,Graduate,49,1,49871511,20615757
86,Salem,EDAPADI,Edappadi K. Palaniswami,ADMK,M,Graduate fail,67,0,67037269,2975453
87,Salem,SANKARI,S. Sundarrajan,ADMK,M,Graduate,49,0,30307813,200000
