Constituency_No,District,Constituency_Name,DMK Coalition Candidate name,Party,Gender,Total Assets,Liabilities,Criminal Cases,Education,Age
1,Thiruvallur,GUMMIDIPUNDI,D.J. Govindarajan,DMK,M,74880993,21801172,0,10th Std,60
2,Thiruvallur,PONNERI,Durai Chandrasekar,INC,M,4382323,0,1,Graduate Professional,48
3,Thiruvallur,TIRUTTANI,S. Chandran,DMK,M,44932385,360000,0,Graduate Professional,57
4,Thiruvallur,THIRUVALLUR,V.G. Rajendran,DMK,M,2180615425,360091288,3,Diploma,53
5,Thiruvallur,POONAMALLEE,A. Krishnasami,DMK,M,131317837,6900000,4,Graduate Professional,55
6,Thiruvallur,AVADI,S.M. Nassar,DMK,M,113357880,0,29,10th Std,61
7,Thiruvallur,MADURAVOYAL,Karambakkam K. Ganapthy,DMK,M,8530700,0,0,8th Pass,61
8,Thiruvallur,AMBATTUR,Joseph Samuel,DMK,M,13801888,296300,1,Graduate,58
9,Thiruvallur,MADAVARAM,S. Sudarsanam,DMK,M,372661072,66866420,22,Graduate Professional,62
10,Thiruvallur,THIRUVOTTIYUR,K.P. Shankar,DMK,M,45420548,8236659,2,9th Std,47
11,Chennai,DR. RADHAKRISHNAN NAGAR,J.J. Ebenezar,DMK,M,1580302,0,0,Post Graduate,45
12,Chennai,PERAMBUR,R.D. Shekhar,DMK,M,12896842,3996800,10,Graduate Professional,54
13,Chennai,KOLATHUR,M.K. Stalin,DMK,M,88875339,0,47,Graduate,68
14,Chennai,VILLIVAKKAM,A. Vetri Alagan,DMK,M,232762681,50034617,0,Post Graduate,42
15,Chennai,THIRU-VI-KA-NAGAR,Thayakam Kavi,DMK,M,20516556,4312266,15,Graduate Professional,55
16,Chennai,EGMORE,I. Paranthaman,DMK,M,11246806,0,0,Graduate Professional,44
17,Chennai,ROYAPURAM,Idream Moorthy,DMK,M,1121958218,268329491,0,10th Std,54
18,Chennai,HARBOUR,P. K. Shekar Babu,DMK,M,21054762,2060000,25,10th Std,58
19,Chennai,CHEPAUK-THIRUVALLIKENI,Udayanithi Stalin,DMK,M,290777932,135000,22,Graduate,43
20,Chennai,THOUSAND LIGHTS,Dr. Ezhilan,DMK,M,11851770,354836,0,Doctor,41
21,Chennai,ANNA NAGAR,M.K. Mohan,DMK,M,2112099843,30313074,8,9th Std,68
22,Chennai,VIRUGAMPAKKAM,A.M.V. Prabhakar Raja,DMK,M,22276365,2462100,6,Post Graduate,32
23,Chennai,SAIDAPET,M. Subramanian,DMK,M,11102314,1319712,34,Post Graduate,61
24,Chennai,THEAYAGARAYA NAGAR,J. Karunanidhi,DMK,M,34408856,16500000,3,9th Std,51
25,Chennai,MYLAPORE,T. Velu,DMK,M,65840088,18249620,11,Graduate Professional,50
26,Chennai,VELACHERY,J.M.H. Hassan,INC,M,117841833,0,5,Post Graduate,36
27,Kanchipuram,SHOZHINGANALLUR,S. Aravind Ramesh,DMK,M,285905346,36778278,22,10th Fail,54
28,Kanchipuram,ALANDUR,T.M. Anbarasan,DMK,M,82272457,0,7,11th Std,61
29,Kanchipuram,SRIPERUMBUDUR,K. Selvaperunthagai,INC,M,275457744,16365725,3,Graduate Professional,60
30,Chengalpattu,PALLAVARAM,I. Karunanidhi,DMK,M,10008315,2019280,21,12th Std,62
31,Chengalpattu,TAMBARAM,S.R. Raja,DMK,M,274169999,80477971,3,9th Std,64
32,Chengalpattu,CHENGALPATTU,M. Varalakshmi,DMK,F,414445408,237892792,0,Graduate Professional,47
33,Chengalpattu,THIRUPORUR,S.S. Balaji,VCK,M,31099633,13359000,2,Graduate Professional,51
34,Chengalpattu,CHEYYUR,Panayur Babu,VCK,M,133657070,77909953,0,Graduate,44
35,Chengalpattu,MADURANTHAKAM,Mallai Sathya,MDMK,M,2993234,1400000,7,Graduate,57
36,Kanchipuram,UTHIRAMERUR,K. Sundar,DMK,M,31557810,0,6,Graduate,66
37,Kanchipuram,KANCHEEPURAM,C.V.M.P. Ezhilarasan,DMK,M,71455672,2445200,5,Graduate Professional,49
38,Ranipet,ARAKONAM,Gautam Sanna,VCK,M,10693782,1500000,0,Post Graduate,48
39,Ranipet,SHOLINGHUR,A.M. Munirathinam,INC,M,703268591,509581789,2,10th Std,65
40,Vellore,KATPADI,Durai Murugan,DMK,M,308092291,0,8,Post Graduate,83
41,Ranipet,RANIPET,R. Gandhi,DMK,M,479495450,148053532,3,10th Std,75
42,Ranipet,ARCOT,J.L. Eswarappan,DMK,M,131771131,71198073,0,Graduate,42
43,Vellore,VELLORE,P. Karthikeyan,DMK,M,176182388,43820797,4,5th Std,59
44,Vellore,ANAIKATTU,A.P. Nandakumar,DMK,M,260878527,79811312,10,12th Std,52
45,Vellore,KILVAITHINANKUPPAM,K. Seetharaman,DMK,M,1104000,0,0,10th Std,63
46,Vellore,GUDIYATHAM,V. Amalu,DMK,F,3375763,0,0,10th Fail,39
47,Tirupattur,VANIAYAMBADI,M. Mohammad Naeem,IUML,M,8702808,932810,0,Graduate,65
48,Tirupattur,AMBUR,A.C. Vilvanathan,DMK,M,38635845,1030623,0,10th Std,61
49,Tirupattur,JOLARPET,K. Devaraji,DMK,M,29704329,3747482,3,8th Std,64
50,Tirupattur,TIRUPPATTUR,A. Nallathambi,DMK,M,19536484,4292231,5,10th Std,45
51,Krishnagiri,UTHANGARAI,J.S. Arumugam,INC,M,18628702,6323000,3,12th Std,48
52,Krishnagiri,BARGUR,T. Mathialagan,DMK,M,614765903,175893071,0,Graduate,54
53,Krishnagiri,KRISHNAGIRI,T. Senguttavan,DMK,M,34641952,14740721,8,10th Std,68
54,Krishnagiri,VEPPANAHALLI,P. Murugan,DMK,M,59462160,6440316,0,12th Std,51
55,Krishnagiri,HOSUR,Y. Prakash,DMK,M,78553505,78673619,0,10th Std,56
56,Krishnagiri,THALLI,T. Ramachandran,CPI,M,51896937,0,0,Graduate,53
57,Dharmapuri,PALACODE,P.K. Murugan,DMK,M,9567490,3248151,3,Graduate Professional,53
58,Dharmapuri,PENNAGARAM,P.N.P. Inbashekaran,DMK,M,71900710,12125326,19,Post Graduate,37
59,Dharmapuri,DHARMAPURI,Thadangam P. Subramani,DMK,M,10145918,1000000,1,11th Std,63
60,Dharmapuri,PAPPIREDDIPPATTI,M. Prabhu Rajashekar,DMK,M,23775143,7126248,2,Doctor,37
61,Dharmapuri,HARUR,A. Kumar,CPM,M,1153000,0,1,11th Std,46
62,Tiruvannamalai,CHENGAM,M.P. Giri,DMK,M,18105914,2916928,0,12th Fail,46
63,Tiruvannamalai,TIRUVANNAMALAI,E.V. Velu,DMK,M,1277000,0,0,10th Std,44
64,Tiruvannamalai,KILPENNATHUR,K. Picchandi,DMK,M,34967504,2455379,0,Post Graduate,67
65,Tiruvannamalai,KALASAPAKKAM,P.S.T. Saravanan,DMK,M,31343590,4779749,1,Post Graduate,52
66,Tiruvannamalai,POLUR,K.V. Sekaran,DMK,M,21228406,3320000,1,10th Std,63
67,Tiruvannamalai,ARANI,S.S. Anbalagan,DMK,M,521430,0,2,12th Std,49
68,Tiruvannamalai,CHEYYAR,O. Jyothi,DMK,M,6378575,935000,3,Graduate,50
69,Tiruvannamalai,VANDAVASI,S. Ambedkumar,DMK,M,22580852,0,2,10th Std,44
70,Villupuram,GINGEE,K.S. Masthan,DMK,M,29300042,660000,29,8th Std,65
71,Villupuram,MAILAM,R. Masilamani,DMK,M,20271083,3257694,8,Doctor,70
72,Villupuram,TINDIVANAM,Seethapathi Chockalingam,DMK,F,18246223,786904,5,Post Graduate,70
73,Villupuram,VANUR,Vanni Arasu,VCK,M,4742265,0,5,12th Std,50
74,Villupuram,VILLUPURAM,R. Lakshmanan,DMK,M,197704524,22962569,2,Doctor,49
75,Villupuram,VIKRAVANDI,N. Pugazhendi,DMK,M,5210805,2702664,4,10th Fail,66
76,Kallakurichi,TIRUKKOYILUR,K. Ponmudi,DMK,M,174207991,48225175,13,Doctorate,70
77,Kallakurichi,ULUNDURPET,A.J. Manikannan,DMK,M,53957979,7456405,4,10th Std,56
78,Kallakurichi,RISHIVANDIAM,Vasantham Karthikeyan,DMK,M,151390457,47026785,23,Graduate,43
79,Kallakurichi,SANKARAPURAM,T. Udayasooriyan,DMK,M,88192627,16115896,32,Graduate,57
80,Kallakurichi,KALLAKURICHI,K.I. Manirathinam,INC,M,63675013,0,4,Doctorate,62
81,Salem,GANGAVALLI,Rekha Priyadarshini,DMK,F,5218739,1400000,2,Post Graduate,38
82,Salem,ATTUR,K. Chinnadurai,DMK,M,14381931,3169630,1,Graduate,55
83,Salem,YERCAUD,C. Tamil Selvan,DMK,M,3662440,0,0,5th Std,50
84,Salem,OMALUR,R. Mohan Kumaramangalam,INC,M,487636609,32675000,1,Graduate,42
85,Salem,METTUR,S. Srinivasa Perumal,DMK,M,113923027,74423163,5,12th Std,46
86,Salem,EDAPADI,K. Sampath Kumar,DMK,M,5767228,0,0,Post Graduate,36
87,Salem,SANKARI,K.M. Rajesh,DMK,M,60184043,16021701,0,Post Graduate,41
88,Salem,SALEM (WEST),Selathampatti A. Rajendran,DMK,M,5886049,7679626,1,10th Std,54
89,Salem,SALEM (NORTH),R. Rajendran,DMK,M,26063861,840000,16,Graduate,61
90,Salem,SALEM (SOUTH),A.S. Saravanan,DMK,M,28083858,9003267,2,7th Std,48
91,Salem,VEERAPANDI,Dr. Tharun,DMK,M,98673714,8453610,1,Doctor,39
92,Namakkal,RASIPURAM,M. Mathiventhan,DMK,M,52243724,22120788,0,Doctor,36
93,Namakkal,SENDAMANGALAM,K. Ponnusami,DMK,M,7665424,46983,0,9th Std,69
94,Namakkal,NAMAKKAL,P. Ramalingam,DMK,M,275560913,134388144,0,Post Graduate,55
95,Namakkal,PARAMATHI-VELUR,K.S. Moorthy,DMK,M,55328049,7750203,1,Graduate,59
96,Namakkal,TIRUCHENGODE,Eeswaran,KMDK,M,409477265,170834980,5,Graduate,60
97,Namakkal,KUMARAPALAYAM,M. Venkatachalam,DMK,M,72993707,0,0,Post Graduate,52
98,Erode,ERODE (EAST),Thirumagan Evera,INC,M,24039279,1538000,0,Graduate,45
99,Erode,ERODE (WEST),C. Mutthusami,DMK,M,136862342,0,9,Post Graduate,71
100,Erode,MODAKURICHI,Subbalakshmi Jagadeesan,DMK,F,76436019,0,7,Graduate,73
101,Tiruppur,DHARAPURAM,Kayalvizhi Selvaraj,DMK,F,41707053,0,0,Post Graduate,52
102,Tiruppur,KANGAYAM,M.P. Saminathan,DMK,M,176399652,34744513,3,Graduate,57
